jobnr,mode,duration,R1,R2,N1,N2
1,1,0,0,0,0,0
2,1,3,0,8,0,6
2,2,6,0,8,0,1
2,3,10,0,6,7,0
3,1,4,7,0,0,10
3,2,6,7,0,6,0
3,3,9,6,0,6,0
4,1,2,0,3,8,0
4,2,4,0,3,7,0
4,3,10,2,0,0,10
5,1,3,0,8,5,0
5,2,6,4,0,0,6
5,3,7,0,6,0,5
6,1,5,0,8,0,9
6,2,8,5,0,1,0
6,3,10,0,5,0,7
7,1,1,5,0,10,0
7,2,6,0,5,0,10
7,3,7,4,0,0,7
8,1,2,0,4,6,0
8,2,4,3,0,0,8
8,3,6,2,0,3,0
9,1,4,0,8,0,5
9,2,7,0,7,4,0
9,3,9,5,0,4,0
10,1,4,0,2,5,0
10,2,5,0,2,4,0
10,3,10,9,0,3,0
11,1,2,0,7,5,0
11,2,3,6,0,0,10
11,3,7,3,0,5,0
12,1,5,9,0,6,0
12,2,8,0,5,5,0
12,3,9,8,0,3,0
13,1,1,0,3,0,2
13,2,3,4,0,8,0
13,3,10,1,0,0,2
14,1,2,0,9,0,4
14,2,5,5,0,9,0
14,3,5,0,9,9,0
15,1,1,0,8,10,0
15,2,1,8,0,0,6
15,3,8,8,0,10,0
16,1,1,7,0,5,0
16,2,7,0,1,0,5
16,3,8,7,0,0,4
17,1,2,0,7,0,8
17,2,3,5,0,0,6
17,3,6,0,7,0,3
18,1,2,0,8,8,0
18,2,3,0,8,7,0
18,3,10,0,8,0,3
19,1,1,0,7,0,8
19,2,4,8,0,0,5
19,3,6,0,6,3,0
20,1,1,5,0,0,7
20,2,2,0,6,9,0
20,3,10,0,6,0,7
21,1,4,0,2,0,8
21,2,6,4,0,0,6
21,3,9,3,0,4,0
22,1,3,8,0,8,0
22,2,5,6,0,5,0
22,3,7,0,7,0,5
23,1,1,8,0,0,5
23,2,8,0,8,0,4
23,3,9,5,0,0,4
24,1,6,9,0,0,3
24,2,7,0,7,7,0
24,3,9,6,0,5,0
25,1,3,2,0,6,0
25,2,3,0,6,0,7
25,3,4,3,0,0,3
26,1,1,0,1,3,0
26,2,8,5,0,2,0
26,3,10,0,1,2,0
27,1,2,0,6,0,7
27,2,3,1,0,0,6
27,3,8,0,6,0,5
28,1,5,0,2,0,7
28,2,5,9,0,0,9
28,3,10,8,0,0,4
29,1,4,0,9,2,0
29,2,7,0,8,0,9
29,3,10,0,5,2,0
30,1,2,7,0,0,4
30,2,6,3,0,9,0
30,3,8,0,6,7,0
31,1,2,6,0,3,0
31,2,5,0,9,3,0
31,3,6,0,5,0,7
32,1,0,0,0,0,0
